AVf1	AVf2	AVf3	AVm1	AVm2	AVm3	HtVf1	HtVf2	HtVf3	HtVm1	HtVm2	HtVm3
g1	0	0	0	0	0	0	0	0	0	0	0	0.252728992778971
g2	0	0	0	0	0	0	0	0	0	0	0	0
g3	0	0	0	0	0	0	0	0	0	0	0	0
g4	0	0	0	0	0	0	0	0	0	0	0	0
g5	0	0	0	0	0	0	0	0.166960787921183	0	0	0	0
g6	12.7427283717432	11.3806399354689	12.0279199660383	5.72680797118905	6.18630403942886	6.71321267466116	5.7701494422474	5.23948375097401	6.06636905235573	3.35868353251748	4.01725196632715	2.79212569866588
g7	61.2268752641184	57.152284298806	52.6934760083411	48.3735296999884	48.2074714546719	42.8937288131516	21.340824838802	24.0034620011495	28.8815489781667	22.2491645574008	23.930631471915	21.9844226211143
g8	72.2688782254765	75.5462181095836	65.860799347081	11.0147834519568	11.4429968141726	11.986563927308	20.3796834975443	23.0708597768793	30.121765276608	13.9776773776616	14.6748313804615	15.2861195970254
g9	0	0	0	0	0	0	0	0	0	0	0	0
g10	3.00688442151802	3.78227150134898	3.04137102940085	1.20330217816105	1.60220768647898	1.24842932208849	1.56960728537451	2.15288453598897	2.17479412813366	2.58206770079653	2.22538511354334	1.82107007099083
g11	36.8472456045783	38.5385473495769	36.366059660298	15.3212285830248	17.4419297032956	19.4388603385535	25.5486954538823	20.8514882112395	27.3845402387786	19.1999106181237	20.5154883406601	18.6447997379773
g12	0	0	0	0	0	0	18.5548451255837	18.8973249697108	16.2823402487902	43.3292985090562	38.1749635394805	36.130269822941
g13	122.940160659431	117.585576504977	115.868420713524	80.397905759783	95.3327893493051	89.4351887480713	167.323938600292	146.403740908388	118.580697362583	206.965575850425	208.153547342584	176.917474746211
g14	10.9000653952096	10.8414563649843	8.60039408828392	4.66959208438967	3.82487431669172	4.3833132468148	4.14755361630695	6.10388998194209	5.2341813823575	9.71776515843479	8.36344296365402	8.54657060618912
g15	34.7611506893772	35.0104423277978	37.6399375251282	41.4887600132841	43.7228360020642	44.6074469792572	28.6775439663189	27.6790230438705	32.3559325456728	29.2417214553425	26.7440422536474	26.2910202422282
g16	86.8221473583555	69.6369216789198	73.3279710054696	56.3658206748272	54.3995939306893	44.8471728208158	29.2125245291676	29.5926205574201	35.6286758594779	42.3614037053337	28.7545976445039	33.3687941313252
g17	133.484298526207	134.715291538979	127.034505841095	82.2630124122883	83.2924610348304	95.0598433935746	68.8786550075502	65.9824159096986	81.6402573956745	68.0423256991175	63.8909942796106	62.4927776761213
g18	2.66947531948296	2.67904171821614	2.38890981084561	0.880148424189226	1.22631389075101	1.07196622374499	1.24134527248624	1.15270551026923	1.00551830355476	1.42709715566122	2.16437188842841	2.14352451181812
g19	0	0	0.0502947022706662	0	0	0	0	0.108033451007825	0	0	0	0
g20	1.8155719928608	1.65102607155164	0.497853888299506	0.2751372069012	2.33392278835411	1.71273365706654	2.38003076716348	0.802045810330242	0.903693665220097	4.80967870499747	4.04600557573555	1.63953935188889
g21	0.560730493315536	0.297448254623899	0.369984346293276	41.7119927228767	53.9614303365947	55.2332192578745	7.51714535133398	6.17721599301667	7.93694464807047	16.2470617600399	11.6067589123767	11.7856145748894
g22	0	0	0	0	0	0	0	0	0	0	0	0
g23	0	0	0	0	0	0	0	0	0	0	0	0
g24	0	0	0	0	0	0	0	0	0	0	0	0
g25	0	0	0	8.97784668605872	11.913435585723	12.1334147934035	0	0	0	0.826010038466957	0	0
g26	0	0.298811133224696	0.135156210225639	83.358064292912	91.3099391611788	92.1413431511554	0	0	0	4.96173727573966	0	0
g27	5.04148286242542	3.32381434967031	5.14959412932644	3.70540670735307	3.60046671118873	3.21024682822753	0.0826109097565532	0.074237397792723	0.250937784015422	0.356147269075384	0	0
g28	0.301878847536971	0.320272706329232	0.434590687023878	15.8515513456669	22.7126457885297	21.9280375394597	0.0865664965957252	0	0	1.58610153488314	0	0.0954133398152653
